	Dillis	Just Like This (Feat. george)	The last dance	NOSAE NOSAE	D (Half Moon)	Love of My Life	Breaking Bad	NOT OK (Feat. MINNIE)	A doll's dream	D.I.E	Good Parts (when the quality is bad but I am)	하루살이	Valentine	PIKPIK	CUZ OF U	Chedda Game	LILAC	camping everywhere	Dream Team	Love wins all	좋다고 말해	SKYBLUE	Better (Feat. GIRIBOY)	Eat	Why (Feat. Hoody)	Whatever for u	SMILE (Feat. Boi B) (Prod. WOOGIE)	Vancouver	Just Like This (Feat. george)	Drivin’ (Feat. Layone, BIG Naughty)	We're Already	If I have you only (My love X Nerd Connection)	Time limit (Feat. Leellamarz, Loco)	Hopeless Romantic (Feat. LEE SUHYUN)	camping everywhere	I Need You (Prod. By VAN.C)	I Need You (Prod. By VAN.C)	Drivin’ (Feat. Layone, BIG Naughty)	Hopeless Romantic (Feat. LEE SUHYUN)	NOT OK (Feat. MINNIE)	camping everywhere	I Need You (Prod. By VAN.C)	Just Like This (Feat. george)	Understand	you won't be there for me	DIE 4 YOU	camping everywhere	Make Up (Feat. Crush)	26	Drivin’ (Feat. Layone, BIG Naughty)
danceability	0.734	0.701	0.712	0.822	0.512	0.523	0.759	0.752	0.665	0.62	0.785	0.726	0.629	0.651	0.683	0.767	0.738	0.748	0.669	0.496	0.68	0.684	0.729	0.662	0.779	0.62	0.675	0.622	0.701	0.844	0.406	0.54	0.677	0.508	0.748	0.652	0.652	0.844	0.508	0.752	0.748	0.652	0.701	0.587	0.779	0.411	0.748	0.698	0.446	0.844
energy	0.649	0.602	0.255	0.781	0.765	0.539	0.498	0.57	0.185	0.783	0.679	0.492	0.41	0.332	0.714	0.779	0.89	0.511	0.71	0.447	0.623	0.693	0.541	0.293	0.392	0.616	0.351	0.604	0.602	0.734	0.492	0.353	0.479	0.302	0.511	0.77	0.77	0.734	0.302	0.57	0.511	0.77	0.602	0.506	0.298	0.359	0.511	0.497	0.937	0.734
key	7.0	8.0	5.0	0.0	7.0	6.0	2.0	4.0	0.0	7.0	0.0	10.0	11.0	3.0	0.0	1.0	2.0	11.0	2.0	0.0	1.0	1.0	5.0	4.0	4.0	4.0	7.0	6.0	8.0	8.0	4.0	9.0	5.0	0.0	11.0	11.0	11.0	8.0	0.0	4.0	11.0	11.0	8.0	10.0	2.0	6.0	11.0	0.0	5.0	8.0
loudness	-4.346	-6.83	-8.8	-5.27	-5.252	-7.772	-6.566	-8.034	-11.61	-4.001	-4.907	-8.046	-7.606	-9.491	-4.94	-4.483	-2.275	-4.791	-2.337	-5.878	-2.695	-5.481	-6.091	-11.311	-4.135	-5.623	-7.19	-6.731	-6.83	-5.213	-6.837	-5.224	-8.638	-9.103	-4.791	-5.289	-5.289	-5.213	-9.103	-8.034	-4.791	-5.289	-6.83	-7.694	-6.462	-9.928	-4.791	-6.606	-3.029	-5.213
mode	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
speechiness	0.128	0.031	0.0373	0.0338	0.136	0.0534	0.0353	0.0488	0.0463	0.0731	0.0379	0.0794	0.286	0.0815	0.0686	0.0791	0.0748	0.0768	0.0396	0.0317	0.0467	0.154	0.238	0.124	0.0482	0.103	0.154	0.145	0.031	0.205	0.0303	0.0258	0.0398	0.0379	0.0768	0.167	0.167	0.205	0.0379	0.0488	0.0768	0.167	0.031	0.15	0.0312	0.0592	0.0768	0.0825	0.201	0.205
acousticness	0.286	0.63	0.955	0.0188	0.246	0.532	0.35	0.338	0.874	0.101	0.516	0.566	0.22	0.9	0.168	0.0321	0.0895	0.442	0.0294	0.82	0.825	0.255	0.261	0.494	0.658	0.493	0.715	0.419	0.63	0.0297	0.671	0.332	0.566	0.813	0.442	0.468	0.468	0.0297	0.813	0.338	0.442	0.468	0.63	0.188	0.221	0.802	0.442	0.502	0.00426	0.0297
instrumentalness	5.37e-06	0.0	3.51e-06	0.0	0.0	0.0	0.00014	0.0	0.0	0.0	0.0	8.14e-06	0.00318	0.0	2.56e-05	0.0	1.89e-06	2.15e-06	0.0	0.0	0.0	0.0	0.0	5.16e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.09e-06	2.15e-06	0.0	0.0	0.0	1.09e-06	0.0	2.15e-06	0.0	0.0	0.0	0.0	1.24e-05	2.15e-06	0.0	1.51e-06	0.0
liveness	0.0923	0.154	0.108	0.0943	0.0573	0.224	0.103	0.293	0.326	0.252	0.417	0.257	0.144	0.377	0.121	0.287	0.213	0.108	0.322	0.098	0.128	0.267	0.456	0.109	0.0958	0.133	0.146	0.122	0.154	0.034	0.0992	0.145	0.118	0.109	0.108	0.318	0.318	0.034	0.109	0.293	0.108	0.318	0.154	0.0611	0.109	0.104	0.108	0.0918	0.0729	0.034
valence	0.378	0.708	0.37	0.717	0.519	0.355	0.487	0.41	0.327	0.298	0.616	0.526	0.907	0.465	0.661	0.482	0.75	0.476	0.161	0.315	0.428	0.55	0.715	0.297	0.708	0.468	0.199	0.698	0.708	0.444	0.279	0.137	0.443	0.255	0.476	0.78	0.78	0.444	0.255	0.41	0.476	0.78	0.708	0.459	0.637	0.277	0.476	0.646	0.38	0.444
tempo	124.987	137.021	125.973	127.028	169.709	75.04	129.968	133.018	123.623	140.02	121.121	85.939	79.936	82.896	140.075	140.089	114.942	88.012	82.009	101.132	79.968	82.503	86.917	91.154	89.929	84.993	60.125	89.483	137.021	109.994	91.241	137.859	109.888	126.799	88.012	142.896	142.896	109.994	126.799	133.018	88.012	142.896	137.021	169.971	94.921	82.631	88.012	124.942	92.038	109.994
