,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Dillis,0.734,0.649,7,-4.346,0,0.128,0.286,5.37e-06,0.0923,0.378,124.987
Just Like This (Feat. george),0.701,0.602,8,-6.83,1,0.031,0.63,0.0,0.154,0.708,137.021
The last dance,0.712,0.255,5,-8.8,1,0.0373,0.955,3.51e-06,0.108,0.37,125.973
NOSAE NOSAE,0.822,0.781,0,-5.27,1,0.0338,0.0188,0.0,0.0943,0.717,127.028
D (Half Moon),0.512,0.765,7,-5.252,1,0.136,0.246,0.0,0.0573,0.519,169.709
Love of My Life,0.523,0.539,6,-7.772,1,0.0534,0.532,0.0,0.224,0.355,75.04
Breaking Bad,0.759,0.498,2,-6.566,0,0.0353,0.35,0.00014,0.103,0.487,129.968
NOT OK (Feat. MINNIE),0.752,0.57,4,-8.034,1,0.0488,0.338,0.0,0.293,0.41,133.018
A doll's dream,0.665,0.185,0,-11.61,1,0.0463,0.874,0.0,0.326,0.327,123.623
D.I.E,0.62,0.783,7,-4.001,0,0.0731,0.101,0.0,0.252,0.298,140.02
Good Parts (when the quality is bad but I am),0.785,0.679,0,-4.907,1,0.0379,0.516,0.0,0.417,0.616,121.121
하루살이,0.726,0.492,10,-8.046,0,0.0794,0.566,8.14e-06,0.257,0.526,85.939
Valentine,0.629,0.41,11,-7.606,0,0.286,0.22,0.00318,0.144,0.907,79.936
PIKPIK,0.651,0.332,3,-9.491,1,0.0815,0.9,0.0,0.377,0.465,82.896
CUZ OF U,0.683,0.714,0,-4.94,1,0.0686,0.168,2.56e-05,0.121,0.661,140.075
Chedda Game,0.767,0.779,1,-4.483,1,0.0791,0.0321,0.0,0.287,0.482,140.089
LILAC,0.738,0.89,2,-2.275,0,0.0748,0.0895,1.89e-06,0.213,0.75,114.942
camping everywhere,0.748,0.511,11,-4.791,0,0.0768,0.442,2.15e-06,0.108,0.476,88.012
Dream Team,0.669,0.71,2,-2.337,1,0.0396,0.0294,0.0,0.322,0.161,82.009
Love wins all,0.496,0.447,0,-5.878,1,0.0317,0.82,0.0,0.098,0.315,101.132
좋다고 말해,0.68,0.623,1,-2.695,1,0.0467,0.825,0.0,0.128,0.428,79.968
SKYBLUE,0.684,0.693,1,-5.481,1,0.154,0.255,0.0,0.267,0.55,82.503
Better (Feat. GIRIBOY),0.729,0.541,5,-6.091,1,0.238,0.261,0.0,0.456,0.715,86.917
Eat,0.662,0.293,4,-11.311,1,0.124,0.494,5.16e-06,0.109,0.297,91.154
Why (Feat. Hoody),0.779,0.392,4,-4.135,1,0.0482,0.658,0.0,0.0958,0.708,89.929
Whatever for u,0.62,0.616,4,-5.623,0,0.103,0.493,0.0,0.133,0.468,84.993
SMILE (Feat. Boi B) (Prod. WOOGIE),0.675,0.351,7,-7.19,1,0.154,0.715,0.0,0.146,0.199,60.125
Vancouver,0.622,0.604,6,-6.731,1,0.145,0.419,0.0,0.122,0.698,89.483
"Drivin’ (Feat. Layone, BIG Naughty)",0.844,0.734,8,-5.213,1,0.205,0.0297,0.0,0.034,0.444,109.994
We're Already,0.406,0.492,4,-6.837,1,0.0303,0.671,0.0,0.0992,0.279,91.241
If I have you only (My love X Nerd Connection),0.54,0.353,9,-5.224,1,0.0258,0.332,0.0,0.145,0.137,137.859
"Time limit (Feat. Leellamarz, Loco)",0.677,0.479,5,-8.638,0,0.0398,0.566,0.0,0.118,0.443,109.888
Hopeless Romantic (Feat. LEE SUHYUN),0.508,0.302,0,-9.103,1,0.0379,0.813,1.09e-06,0.109,0.255,126.799
I Need You (Prod. By VAN.C),0.652,0.77,11,-5.289,1,0.167,0.468,0.0,0.318,0.78,142.896
Understand,0.587,0.506,10,-7.694,0,0.15,0.188,0.0,0.0611,0.459,169.971
you won't be there for me,0.779,0.298,2,-6.462,0,0.0312,0.221,0.0,0.109,0.637,94.921
DIE 4 YOU,0.411,0.359,6,-9.928,0,0.0592,0.802,1.24e-05,0.104,0.277,82.631
Make Up (Feat. Crush),0.698,0.497,0,-6.606,1,0.0825,0.502,0.0,0.0918,0.646,124.942
26,0.446,0.937,5,-3.029,1,0.201,0.00426,1.51e-06,0.0729,0.38,92.038
